shower,pdg,kinetic_energy,x,y,nx,ny,nz,time,weight,time_transformed,X_transformed,Y_transformed,Z_transformed,injection_height,zenith,azimuth,primary_pdg,primary_name,primary_total_energy,primary_kinetic_energy,primary_x,primary_y,primary_z,primary_nx,primary_ny,primary_nz,primary_time,plane,event_id
0.0,-11.0,1.5537141561508179,6.111324310302734,-57.604835510253906,0.0031096572056412697,-0.005507372319698334,-0.9999799728393555,2.3578711958761176e-05,1.0,0.7832187585573926,552.3240979016057,116.49927617906843,6386987.139253919,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,22.0,1.1641676425933838,3.0738236904144287,34.0576286315918,0.0011684990022331476,0.0037653406616300344,-0.9999922513961792,2.2722292643997048e-05,1.0,0.7526055051878693,558.9625975007426,25.027589559858725,6386986.831662176,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,-13.0,5.6285400390625,-4.122396945953369,75.39725494384766,-0.0011706409277394414,0.005625766236335039,-0.9999834895133972,2.181635244376142e-05,1.0,0.720222096255659,556.1689335499954,-16.84040515326963,6386986.961105275,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,-211.0,333.33258056640625,-11.398422241210938,-9.359889030456543,-0.0012140007456764579,-0.0009136809385381639,-0.9999988675117493,2.1401980769476278e-05,1.0,0.7054101170821879,540.01282024072,66.67686025154985,6386987.709691153,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,22.0,10.296394348144531,-48.58329772949219,55.08148956298828,-0.005814686417579651,0.006541254930198193,-0.9999616742134094,2.258791343271804e-05,1.0,0.7478020347714951,509.86323775810916,-1.3265029033157631,6386989.106657815,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,13.0,2.2651257514953613,-753.501708984375,453.3851623535156,-0.08204890042543411,0.05957464501261711,-0.9948461651802063,2.1602041704707952e-05,1.0,0.7125614225163465,-148.41565061385813,-471.7458625031485,6387019.607699142,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,-13.0,2.265808582305908,1102.7197265625,5.699091911315918,0.12539708614349365,-0.0023877122439444065,-0.9921037554740906,2.18614589570921e-05,1.0,0.7218344572771853,1648.317799234946,169.1902112767665,6386936.356903507,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,-11.0,1.0554944276809692,-12.203961372375488,-27.151798248291016,-0.010668540373444557,-0.005704109091311693,-0.9999268054962158,2.3361170318131193e-05,1.0,0.7754425941853156,537.3384115542904,84.284617336079,6386987.833608616,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,22.0,1.9550056457519531,40.156341552734375,-4.519268035888672,0.0048925564624369144,-0.000741189403925091,-0.999987781047821,2.3686298942155413e-05,1.0,0.7870645237393907,591.7350956097266,67.29989276609744,6386985.313163958,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
0.0,22.0,5.461095809936523,40.70746994018555,0.2379305213689804,0.00500843720510602,0.00027008759207092226,-0.9999874234199524,2.3686304902775245e-05,1.0,0.7870647368055396,592.7836922498776,62.627338317281456,6386985.264577728,4000.0,2.6528754873481395,6.053331840250282,211.0,PiPlus,143313.11497708265,143312.97540668264,1.9326762412674725e-11,7.105427357601002e-15,12000.000000000413,0.0,-8.673617379884035e-19,-1.0,0.0,0.0,33619162.0
